Author,Book,Rating,Blurb,Author Year of Birth,Author Country
Zora Neale Hurston,Their Eyes Were Watching God,4.2,"Fair and long-legged, independent and articulate, Janie Crawford sets out to be her own person -- no mean feat for a black woman in the '30s. Janie's quest for identity takes her through three marriages and into a journey back to her roots. less",,
Dave Eggers,What is the What,4.19,"This is the story of a man who, as a boy, was separated from his family in Sudan's brutal civil war; who trekked across Africa's punishing wilderness with thousands of other children; who survived aerial bombardment and attacks by militias and wild animals; who ate whatever he could find or nothing at all; who, as a boy, considered ending his life to end the suffering; and who eventually mad it to America, where a new and equally challenging journey began. His name is Valentino Achak Deng, and in this novel Dave Eggers tells the extraordinary true story of his incredible journey.--back cover less",,
Imbolo Mbue,Behold the Dreamers,4.18,"Jende Jonga, a Cameroonian immigrant living in Harlem, has come to the United States to provide a better life for himself, his wife, Neni, and their six-year-old son. In the fall of 2007, Jende can hardly believe his luck when he lands a job as a chauffeur for Clark Edwards, a senior executive at Lehman Brothers. Clark demands punctuality, discretion, and loyalty—and Jende is eager to please. Clark’s wife, Cindy, even offers Neni temporary work at the Edwardses’ summer home in the Hamptons. With these opportunities, Jende and Neni can at last gain a foothold in America and imagine a brighter future. However, the world of great power and privilege conceals troubling secrets, and soon Jende and Neni notice cracks in their employers’ façades. When the financial world is rocked by the collapse of Lehman Brothers, the Jongas are desperate to keep Jende’s job—even as their marriage threatens to fall apart. As all four lives are dramatically upended, Jende and Neni are forced to make an impossible choice. less",,
Nnedi Okorafor,"Who Fears Death (Who Fears Death, #1)",4.18,"An award-winning literary author presents her first foray into supernatural fantasy with a novel of post-apocalyptic Africa.  In a far future, post-nuclear-holocaust Africa, genocide plagues one region. The aggressors, the Nuru, have decided to follow the Great Book and exterminate the Okeke. But when the only surviving member of a slain Okeke village is brutally raped, she manages to escape, wandering farther into the desert. She gives birth to a baby girl with hair and skin the color of sand and instinctively knows that her daughter is different. She names her daughter Onyesonwu, which means ""Who Fears Death?"" in an ancient African tongue. Reared under the tutelage of a mysterious and traditional shaman, Onyesonwu discovers her magical destiny – to end the genocide of her people. The journey to fulfill her destiny will force her to grapple with nature, tradition, history, true love, the spiritual mysteries of her culture – and eventually death itself. less",born 1974,Nigeria/US
Lola Shoneyin,The Secret Lives of the Four Wives,4.17,"Attempting to rise above the secrets of her past, Bolanle, a university graduate, marries Baba Segi, who promises her everything in exchange for agreeing to become his fourth wife. Thus she enters into a polygamous world filled with expensive clothes, a generous monthly allowance...and three Segi wives who disapprove of the newest, youngest, most educated addition to the family. There's Iya Femi, a fiery vixen with a taste for money; Iya Tope, a shy woman whose kindness is eclipsed by terror; and Iya Segi, the first, most lethal, and merciless of them all.Bolanle quickly becomes Baba Segi's prized possession...until her very presence unlocks a secret that the other wives have long since guarded, and unleashing it could change life as they know it. less",born 1974,Nigeria
Adam Hochschil,King Leopold's Ghost,4.16,"In the 1880s, as the European powers were carving up Africa, King Leopold II of Belgium seized for himself the vast and mostly unexplored territory surrounding the Congo River. Carrying out a genocidal plundering of the Congo, he looted its rubber, brutalized its people, and ultimately slashed its population by ten million--all the while shrewdly cultivating his reputation as a great humanitarian. Heroic efforts to expose these crimes eventually led to the first great human rights movement of the twentieth century, in which everyone from Mark Twain to the Archbishop of Canterbury participated. King Leopold's Ghost is the haunting account of a megalomaniac of monstrous proportions, a man as cunning, charming, and cruel as any of the great Shakespearean villains. It is also the deeply moving portrait of those who fought Leopold: a brave handful of missionaries, travelers, and young idealists who went to Africa for work or adventure and unexpectedly found themselves witnesses to a holocaust. Adam Hochschild brings this largely untold story alive with the wit and skill of a Barbara Tuchman. Like her, he knows that history often provides a far richer cast of characters than any novelist could invent. Chief among them is Edmund Morel, a young British shipping agent who went on to lead the international crusade against Leopold. Another hero of this tale, the Irish patriot Roger Casement, ended his life on a London gallows. Two courageous black Americans, George Washington Williams and William Sheppard, risked much to bring evidence of the Congo atrocities to the outside world. Sailing into the middle of the story was a young Congo River steamboat officer named Joseph Conrad. And looming above them all, the duplicitous billionaire King Leopold II. With great power and compassion, King Leopold's Ghost will brand the tragedy of the Congo--too long forgotten--onto the conscience of the West less",,
Stephen King,The Green Mile,4.15,"When it first appeared, one volume per month, Stephen King's THE GREEN MILE was an unprecedented publishing triumph: all six volumes ended up on the New York Times bestseller lists—simultaneously—and delighted millions of fans the world over.Welcome to Cold Mountain Penitentiary, home to the Depression-worn men of E Block. Convicted killers all, each awaits his turn to walk the Green Mile, keeping a date with ""Old Sparky,"" Cold Mountain's electric chair. Prison guard Paul Edgecombe has seen his share of oddities in his years working the Mile. But he's never seen anyone like John Coffey, a man with the body of a giant and the mind of a child, condemned for a crime terrifying in its violence and shocking in its depravity. In this place of ultimate retribution, Edgecombe is about to discover the terrible, wondrous truth about Coffey, a truth that will challenge his most cherished beliefes... and yours. less",,
Isak Dinesen,Out of Africa,4.15,"Out of Africa is Isak Dinesen's memoir of her years in Africa, from 1914 to 1931, on a four-thousand-acre coffee plantation in the hills near Nairobi. She had come to Kenya from Denmark with her husband, and when they separated she stayed on to manage the farm by herself, visited frequently by her lover, the big-game hunter Denys Finch-Hatton, for whom she would make up stories ""like Scheherazade."" In Africa, ""I learned how to tell tales,"" she recalled many years later. ""The natives have an ear still. I told stories constantly to them, all kinds."" Her account of her African adventures, written after she had lost her beloved farm and returned to Denmark, is that of a master storyteller, a woman whom John Updike called ""one of the most picturesque and flamboyant literary personalities of the century."" less",,
Alexander Mccall Smit,The Kalahari Typing School for Men (No. 1 Ladies' Detective Agency #4),4.14,"An alternative cover edition for this ISBN can be found here.Life is never without its problems. Will Precious Ramotswe’s delightfully cunning and profoundly moral methods save the day? Find out in this, the fourth volume in the No.1 Ladies Detective Agency series featuring Botswana's first and only lady detective.Now that The No. 1 Ladies’ Detective Agency (the only detective agency for ladies and others in Botswana) is established, its founder, Precious Ramotswe, can look upon her life with pride: she’s reached her late thirties (""the finest age to be""), has a house, two children, a good fiancé -- Mr. J. L. B. Matekoni -- and many satisfied customers. But life is never without its problems. It turns out that her adopted son is responsible for the dead hoopoe bird in the garden; her assistant, Mma Makutsi, wants a husband and needs help with her idea to open the Kalahari Typing School for Men; yet Mma Ramotswe’s sexist rival has no trouble opening his Satisfaction Guaranteed Detective Agency across town. Will Precious Ramotswe’s delightfully cunning and profoundly moral methods save the day? Follow the continuing story of Botswana’s first lady detective in the irresistible The Kalahari Typing School for Men. less",,
Alexander McCall Smit,Tears of the Giraffe (No. 1 Ladies' Detective Agency #2),4.14,"Librarian note: Older cover edition of 9780349116655.In 1999 The No. 1 Ladies' Detective Agency received two Booker Judges' Special Recommendations and was voted one of the ‘International Books of the Year and the Millennium' by the Times Literary Supplement. Tears of the Giraffe takes us further into the life of the engaging and sassy Precious Ramotswe, the owner and detective of Botswana's only Ladies' detective agency. Among her cases are wayward wives, unscrupulous maids and a challenge to resolve a mother's pain for her son, who is long lost on the African plains. Mma Ramotswe's own impending marriage to that most gentlemanly of men, Mr. J. L. B. Matekoni, the promotion of her secretary to the dizzy heights of Assistant Detective and new additions to the Matekoni family, all brew up the most humorous and charmingly entertaining of tales. less",,
Williams Chancellor,Destruction of Black Civilization,4.13,A widely read classic exposition of the history of Africans on the continent—and the people of African descent in the United States and in the diaspora—this well researched analysis details the development of civiliza less,,
Ngugi wa Thiong'o,Wizard of the Crow,4.13,"From the exiled Kenyan novelist, playwright, poet, and literary critic--a magisterial comic novel that is certain to take its place as a landmark of postcolonial African literature.In exile now for more than twenty years, Ngũgĩ wa Thiong'o has become one of the most widely read African writers of our time, the power and scope of his work garnering him international attention and praise. His aim in Wizard of the Crow is, in his own words,nothing less than “to sum up Africa of the twentieth century in the context of two thousand years of world history.”Commencing in “our times” and set in the “Free Republic of Aburĩria,” the novel dramatizes with corrosive humor and keenness of observation a battle for control of the souls of the Aburĩrian people. Among the contenders: His High Mighty Excellency; the eponymous Wizard, an avatar of folklore and wisdom; the corrupt Christian Ministry; and the nefarious Global Bank. Fashioning the stories of the powerful and the ordinary into a dazzling mosaic, Wizard of the Crow reveals humanity in all its endlessly surprising complexity.Informed by richly enigmatic traditional African storytelling, Wizard of the Crow is a masterpiece, the crowning achievement in Ngugl wa Thiong’o’s career thus far. less",,
Buchi Emechta,The Joys of Motherhood,4.12,"Nnu Ego is a woman who gives all her energy, money and everything she has to raising her children - leaving her little time to make friends. less",,
Alex Haley,Roots,4.11,"When he was a boy in Henning, Tennessee, Alex Haley's grandmother used to tell him stories about their family—stories that went back to her grandparents, and their grandparents, down through the generations all the way to a man she called ""the African."" She said he had lived across the ocean near what he called the ""Kamby Bolongo"" and had been out in the forest one day chopping wood to make a drum when he was set upon by four men, beaten, chained and dragged aboard a slave ship bound for Colonial America.Still vividly remembering the stories after he grew up and became a writer, Haley began to search for documentation that might authenticate the narrative. It took ten years and a half a million miles of travel across three continents to find it, but finally, in an astonishing feat of genealogical detective work, he discovered not only the name of ""the African""—Kunta Kinte—but the precise location of Juffure, the very village in The Gambia, West Africa, from which he was abducted in 1767 at the age of sixteen and taken on the Lord Ligonier to Maryland and sold to a Virginia planter.Haley has talked in Juffure with his own African sixth cousins. On September 29, 1967, he stood on the dock in Annapolis where his great-great-great-great-grandfather was taken ashore on September 29, 1767. Now he has written the monumental two-century drama of Kunta Kinte and the six generations who came after him—slaves and freedmen, farmers and blacksmiths, lumber mill workers and Pullman porters, lawyers and architects—and one author.But Haley has done more than recapture the history of his own family. As the first black American writer to trace his origins back to their roots, he has told the story of 25,000,000 Americans of African descent. He has rediscovered for an entire people a rich cultural heritage that slavery took away from them, along with their names and their identities. But Roots speaks, finally, not just to blacks, or to whites, but to all people and all races everywhere, for the story it tells is one of the most eloquent testimonials ever written to the indomitability of the human spirit. less",,
Alexander McCall Smith,Morality for Beautiful Girls (No. 1 Ladies' Detective Agency #3),4.11,"Botswana PI Precious Ramotswe investigates the alleged poisoning of the brother of an important government official, and the moral character of four beauty contestants. When her business has money trouble, and problems arise at at her reliable fiance Mr J.L.B. Matekoni's Speedy Motors, she finds he is more complicated then he seems. less",,
Llaila Afrika,African Holistic Health,4.11,african holistic health addresses health issues from a comprehensive african -centered viewpoint.it provides a complete guide to herbal remedies along with homeopathic disease treatments.what makes afrikan holistic health truly unique is the research dr. afrika has provided on the physiological and psychological differences between people of african descent verses people of european descent. less,,
Ben Okri,The Famished Road,4.11,"In the decade since it won the Booker Prize, Ben Okri's Famished Road has become a classic. Like Salman Rushdie's Midnight's Children or Gabriel Garcia Marquez's One Hundred Years of Solitude, it combines brilliant narrative technique with a fresh vision to create an essential work of world literature.The narrator, Azaro, is an abiku, a spirit child, who in the Yoruba tradition of Nigeria exists between life and death. The life he foresees for himself and the tale he tells is full of sadness and tragedy, but inexplicably he is born with a smile on his face. Nearly called back to the land of the dead, he is resurrected. But in their efforts to save their child, Azaro's loving parents are made destitute. The tension between the land of the living, with its violence and political struggles, and the temptations of the carefree kingdom of the spirits propels this latter-day Lazarus's story. less",born 1959,Nigeria
Esi Edugyan,Washington Black,4.11,"Washington Black is an eleven-year-old field slave who knows no other life than the Barbados sugar plantation where he was born. When his master's eccentric brother chooses him to be his manservant, Wash is terrified of the cruelties he is certain await him. But Christopher Wilde, or ""Titch,"" is a naturalist, explorer, scientist, inventor, and abolitionist. He initiates Wash into a world where a flying machine can carry a man across the sky; where two people, separated by an impossible divide, might begin to see each other as human; and where a boy born in chains can embrace a life of dignity and meaning. But when a man is killed and a bounty is placed on Wash's head, Titch abandons everything to save him. What follows is their flight along the eastern coast of America, and, finally, to a remote outpost in the Arctic, where Wash, left on his own, must invent another new life, one which will propel him further across the globe. From the sultry cane fields of the Caribbean to the frozen Far North, Washington Black tells a story of friendship and betrayal, love and redemption, of a world destroyed and made whole again--and asks the question, what is true freedom? less",,
Taiye Selasi,Ghana Must Go,4.1,"Kweku Sai is dead. A renowned surgeon and failed husband, he succumbs suddenly at dawn outside his home in suburban Accra. The news of Kweku’s death sends a ripple around the world, bringing together the family he abandoned years before. Ghana Must Go is their story. Electric, exhilarating, beautifully crafted, Ghana Must Go is a testament to the transformative power of unconditional love, from a debut novelist of extraordinary talent.  Moving with great elegance through time and place, Ghana Must Go charts the Sais’ circuitous journey to one another. In the wake of Kweku’s death, his children gather in Ghana at their enigmatic mother’s new home. The eldest son and his wife; the mysterious, beautiful twins; the baby sister, now a young woman: each carries secrets of his own. What is revealed in their coming together is the story of how they came apart: the hearts broken, the lies told, the crimes committed in the name of love. Splintered, alone, each navigates his pain, believing that what has been lost can never be recovered—until, in Ghana, a new way forward, a new family, begins to emerge.Ghana Must Go is at once a portrait of a modern family, and an exploration of the importance of where we come from to who we are. In a sweeping narrative that takes us from Accra to Lagos to London to New York, Ghana Must Go teaches that the truths we speak can heal the wounds we hide. less",born 1979,Ghana/Nigeria
"Albert Camus, Stuart Gilbert",The plague,4.1,"A gripping tale of human unrelieved horror, of survival and resilience, and of the ways in which humankind confronts death, The Plague is at once a masterfully crafted novel, eloquently understated and epic in scope, and a parable of ageless moral resonance, profoundly relevant to our times. In Oran, a coastal town in North Africa, the plague begins as a series of portents, unheeded by the people. It gradually becomes a omnipresent reality, obliterating all traces of the past and driving its victims to almost unearthly extremes of suffering, madness, and compassion. less",,
Alexander McCall Smith,The Full Cupboard of Life (No. 1 Ladies' Detective Agency #5),4.1,"Mma Ramotswe, who became engaged to Mr J.L.B. Matekoni at the end of the first audiobook, is still engaged. She wonders when a day for the wedding will be named, but she is anxious to avoid putting too much pressure on her fiancé. For indeed he has other things on his mind, notably a frightening request made of him by Mma Potokwani, pushy matron of the Orphan Farm.Mma Ramotswe herself has weighty matters on her mind. She has been approached by a wealthy lady, whose fortune comes from successful hair-braiding salons, and has been asked to check up on several suitors. Are these men just interested in her money? This may be difficult to find out, but Mma Ramotswe is, of course, a very intuitive lady. less",,
"Jennifer Nansubuga Makumbi, Aaron Bady",Kintu,4.09,"Uganda’s history reimagined through the cursed bloodline of the Kintu clan in an award-winning debut.In 1750, Kintu Kidda unleashes a curse that will plague his family for generations. In this ambitious tale of a clan and of a nation, Makumbi weaves together the stories of Kintu’s descendants as they seek to break from the burden of their shared past and reconcile the inheritance of tradition and the modern world that is their future. less",,
Chinua Achebe,"Arrow of God (The African Trilogy, #3)",4.09,"Set in the Igbo heartland of eastern Nigeria, one of Africa's best-known writers describes the conflict between old and new in its most poignant aspect: the personal struggle between father and son.Ezeulu, the headstrong chief priest of the god Ulu, is worshipped by the six villages of Umuaro. But his authority is increasingly under threat—from rivals within his tribe, from functionaries of the colonial government, and even from his own family members. Yet he believes himself to be untouchable: surely he is an arrow in the bow of his God? Armed with this belief, he is prepared to lead his people, even if it is towards their own destruction. But his people will not be dominated so easily. Spare and powerful, Arrow of God is an unforgettable portrayal of the loss of faith, and the downfall of a man in a society forever altered by colonialism. less",1930–2013,Nigeria
Philip Gourevitch,We Wish to Inform You That Tomorrow We Will Be Killed with Our Families,4.09,"In April of 1994, the government of Rwanda called on everyone in the Hutu majority to kill everyone in the Tutsi minority. Over the next three months, 800,000 Tutsis were murdered in the most unambiguous case of genocide since Hitler's war against the Jews. Philip Gourevitch's haunting work is an anatomy of the killings in Rwanda, a vivid history of the genocide's background, and an unforgettable account of what it means to survive in its aftermath. less",,
Chinelo Okparanta,Under the Udala Trees,4.09,"Inspired by Nigeria's folktales and its war, Under the Udala Trees is a deeply searching, powerful debut about the dangers of living and loving openly.Ijeoma comes of age as her nation does; born before independence, she is eleven when civil war breaks out in the young republic of Nigeria. Sent away to safety, she meets another displaced child and they, star-crossed, fall in love. They are from different ethnic communities. They are also both girls. When their love is discovered, Ijeoma learns that she will have to hide this part of herself. But there is a cost to living inside a lie. As Edwidge Danticat has made personal the legacy of Haiti's political coming of age, Okparanta's Under the Udala Trees uses one woman's lifetime to examine the ways in which Nigerians continue to struggle toward selfhood. Even as their nation contends with and recovers from the effects of war and division, Nigerian lives are also wrecked and lost from taboo and prejudice. This story offers a glimmer of hope — a future where a woman might just be able to shape her life around truth and love. less",born 1981,Chinelo Okparanta(born 1981)
Isabel Wilkerson,The Warmth of Other Suns,4.09,"In this epic, beautifully written masterwork, Pulitzer Prize–winning author Isabel Wilkerson chronicles one of the great untold stories of American history: the decades-long migration of black citizens who fled the South for northern and western cities, in search of a better life. From 1915 to 1970, this exodus of almost six million people changed the face of America. Wilkerson compares this epic migration to the migrations of other peoples in history. She interviewed more than a thousand people, and gained access to new data and official records, to write this definitive and vividly dramatic account of how these American journeys unfolded, altering our cities, our country, and ourselves.With stunning historical detail, Wilkerson tells this story through the lives of three unique individuals: Ida Mae Gladney, who in 1937 left sharecropping and prejudice in Mississippi for Chicago, where she achieved quiet blue-collar success and, in old age, voted for Barack Obama when he ran for an Illinois Senate seat; sharp and quick-tempered George Starling, who in 1945 fled Florida for Harlem, where he endangered his job fighting for civil rights, saw his family fall, and finally found peace in God; and Robert Foster, who left Louisiana in 1953 to pursue a medical career, the personal physician to Ray Charles as part of a glitteringly successful medical career, which allowed him to purchase a grand home where he often threw exuberant parties.Wilkerson brilliantly captures their first treacherous and exhausting cross-country trips by car and train and their new lives in colonies that grew into ghettos, as well as how they changed these cities with southern food, faith, and culture and improved them with discipline, drive, and hard work. Both a riveting microcosm and a major assessment, The Warmth of Other Suns is a bold, remarkable, and riveting work, a superb account of an “unrecognized immigration” within our own land. Through the breadth of its narrative, the beauty of the writing, the depth of its research, and the fullness of the people and lives portrayed herein, this book is destined to become a classic. less",,
Toni Morrison,The Bluest Eye,4.08,"The Bluest Eye is Toni Morrison's first novel, a book heralded for its richness of language and boldness of vision. Set in the author's girlhood hometown of Lorain, Ohio, it tells the story of black, eleven-year-old Pecola Breedlove. Pecola prays for her eyes to turn blue so that she will be as beautiful and beloved as all the blond, blue-eyed children in America. In the autumn of 1941, the year the marigolds in the Breedloves' garden do not bloom. Pecola's life does change- in painful, devastating ways.What its vivid evocation of the fear and loneliness at the heart of a child's yearning, and the tragedy of its fulfillment. The Bluest Eye remains one of Tony Morrisons's most powerful, unforgettable novels- and a significant work of American fiction. less",,
Ayi Kwei Armah,The Beautyful Ones Are Not Yet Born,4.08,"A railway freight clerk in Ghana attempts to hold out against the pressures that impel him toward corruption in both his family and his country. The Beautyful Ones Are Not Yet Born is the novel that catapulted Ayi Kwei Armah into the limelight. The novel is generally a satirical attack on the Ghanaian society during Kwame Nkrumah’s regime and the period immediately after independence in the 1960s. It is often claimed to rank with ""Things Fall Apart"" as one of the high points of post-colonial African Literature. A quote from Chapter 6: ""And where is my solid ground these days? Let us say just that the cycle from birth to decay has been short. Short, brief. But otherwise not at all unusual. And even in the decline into the end there are things that remind the longing mind of old beginnings and hold out the promise of new ones, things even like your despair itself. I have heard this pain before, only then it was multiplied many, many times, but that may only be because at that time I was not so alone, so far apart. Maybe there are other lonely voices despairing now. I will not be entranced by the voice, even if it should swell as it did in the days of hope. I will not be entranced, since I have seen the destruction of the promises it made. But I shall not resist it either. I will be like a cork. It is so surprising, is it not, how even the worst happenings of the past acquire a sweetness in the memory. Old harsh distresses are now merely pictures and tastes which hurt no more, like itching scars which can only give pleasure now. Strange, because when I can think soberly about it all, with out pushing any later joys into the deepr past, I can remember that things were terrible then. When the war was over the soldiers came back to homes broken in their absence and they themselves brought murder in their hearts and gave it to those nearest them. I saw it, not very clearly, because I had no way of understanding it, but it frightened me. We had gone on marches of victory and I do not think there was anyone mean enough in spirit to ask whether we knew what we were celebrating. Whose victory? Ours? It did not matter. We marched, and only a dishonest fool will look back on his boyhood and say he knew even then that there was no meaning in any of it. It is so funny now, to remember that we all thought we were welcoming victory. Or perhaps there is nothing funny here at all, and it is only that victory itself happens to be the identical twin of defeat. "" less",born 1939,Ghana
Akwaeke Emezi,Freshwater,4.08,"An extraordinary debut novel, Freshwater explores the surreal experience of having a fractured self. It centers around a young Nigerian woman, Ada, who develops separate selves within her as a result of being born ""with one foot on the other side."" Unsettling, heartwrenching, dark, and powerful, Freshwater is a sharp evocation of a rare way of experiencing the world, one that illuminates how we all construct our identities.Ada begins her life in the south of Nigeria as a troubled baby and a source of deep concern to her family. Her parents, Saul and Saachi, successfully prayed her into existence, but as she grows into a volatile and splintered child, it becomes clear that something went terribly awry. When Ada comes of age and moves to America for college, the group of selves within her grows in power and agency. A traumatic assault leads to a crystallization of her alternate selves: Asụghara and Saint Vincent. As Ada fades into the background of her own mind and these selves--now protective, now hedonistic--move into control, Ada's life spirals in a dark and dangerous direction.Narrated by the various selves within Ada and based in the author's realities, Freshwater dazzles with ferocious energy and serpentine grace, heralding the arrival of a fierce new literary voice. less",,
Octavia E. Butler,Kindred,4.07,"The first science fiction written by a black woman, Kindred has become a cornerstone of black American literature. This combination of slave memoir, fantasy, and historical fiction is a novel of rich literary complexity. Having just celebrated her 26th birthday in 1976 California, Dana, an African-American woman, is suddenly and inexplicably wrenched through time into antebellum Maryland. After saving a drowning white boy there, she finds herself staring into the barrel of a shotgun and is transported back to the present just in time to save her life. During numerous such time-defying episodes with the same young man, she realizes the challenge she’s been given... less",,
Joseph Conrad,Heart of Darkness,4.07,"Heart of Darkness, a novel by Joseph Conrad, was originally a three-part series in Blackwood's Magazine in 1899. It is a story within a story, following a character named Charlie Marlow, who recounts his adventure to a group of men onboard an anchored ship. The story told is of his early life as a ferry boat captain. Although his job was to transport ivory downriver, Charlie develops an interest in investing an ivory procurement agent, Kurtz, who is employed by the government. Preceded by his reputation as a brilliant emissary of progress, Kurtz has now established himself as a god among the natives in “one of the darkest places on earth.” Marlow suspects something else of Kurtz: he has gone mad.A reflection on corruptive European colonialism and a journey into the nightmare psyche of one of the corrupted, Heart of Darkness is considered one of the most influential works ever written. less",,
Alexander McCall Smith,In the Company of Cheerful Ladies (No. 1 Ladies' Detective Agency #6),4.07,"Mma Ramotswe's normally unshakable composure is rattled when a visitor forces her to confront a secret from her past.In the newest addition to the universally beloved No. 1 Ladies’ Detective Agency series, the charming and ever-resourceful Precious Ramotswe finds herself overly beset by problems. She is already busier than usual at the detective agency when added to her concerns are a strange intruder in her house on Zebra Drive and the baffling appearance of a pumpkin. And then there is Mma Makutsi, who decides to treat herself to dance lessons, only to be partnered with a man who seems to have two left feet. Nor are things running quite as smoothly as they usually do at Tlokweng Road Speedy Motors. Mma Ramotswe’s husband, the estimable Mr. J.L.B. Matekoni, is overburdened with work even before one of his apprentices runs off with a wealthy woman. But what finally rattles Mma Ramotswe’s normally unshakable composure is a visitor who forces her to confront a secret from her past. . . . All this unfolds against the sunlit background of Mma Ramotswe’s beloved homeland, Botswana–a land of empty spaces, echoing skies, and an endless supply of soothing bush tea. less",,
Wes Moore,The Other Wes Moore,4.07,"Two kids with the same name lived in the same decaying city. One went on to be a Rhodes Scholar, decorated combat veteran, White House Fellow, and business leader. The other is serving a life sentence in prison. Here is the story of two boys and the journey of a generation. In December 2000, the Baltimore Sun ran a small piece about Wes Moore, a local student who had just received a Rhodes Scholarship. The same paper also ran a series of articles about four young men who had allegedly killed a police officer in a spectacularly botched armed robbery. The police were still hunting for two of the suspects who had gone on the lam, a pair of brothers. One was named Wes Moore.  Wes just couldn’t shake off the unsettling coincidence, or the inkling that the two shared much more than space in the same newspaper. After following the story of the robbery, the manhunt, and the trial to its conclusion, he wrote a letter to the other Wes, now a convicted murderer serving a life sentence without the possibility of parole. His letter tentatively asked the questions that had been haunting him: Who are you? How did this happen?That letter led to a correspondence and relationship that have lasted for several years. Over dozens of letters and prison visits, Wes discovered that the other Wes had had a life not unlike his own: Both had grown up in similar neighborhoods and had had difficult childhoods, both were fatherless; they’d hung out on similar corners with similar crews, and both had run into trouble with the police. At each stage of their young lives they had come across similar moments of decision, yet their choices would lead them to astonishingly different destinies.Told in alternating dramatic narratives that take readers from heart-wrenching losses to moments of surprising redemption, The Other Wes Moore tells the story of a generation of boys trying to find their way in a hostile world. less",,
John Howard Griffin and Robert Bopnzaai,Black Like Me,4.07,The author tells of this experiences after he darkened his skin and traveled through the South in order to find out how it feels to be black. less,,
John Steptoe,Mufaro's Beautiful Daughters,4.07,"The tale of Mufaro's two daughters, two beautiful girls who react in different ways to the king's search for a wife - one is aggressive and selfish, the other kind and dignified. The king takes on disguises to learn the true nature of both girls andof course chooses Nyasha, the kind and generous daughter, to be his queen. less",,
Lawrence Hill,The Book of Negroes,4.06,"Based on a true story, ""The Book of Negroes"" tells the story of Aminata, a young girl abducted from her village in Mali aged 11 in 1755, and who, after a deathly journey on a slave ship where she witnesses the brutal repression of a slave revolt, is sold to a plantation owner in South Carolina, who rapes her. She is brought to New York, where she escapes her owner, and finds herself helping the British by recording all the freed slaves on the British side in the Revolutionary War in The Book of Negroes (a real historical document that can be found today at the National Archives at Kew).Aminata is sent to Nova Scotia to start a new life, but finds more hostility, oppression and tragedy. Separated from her one true love, and suffering the unimaginable loss of both her children who are taken away from her, she eventually joins a group of freed slaves on a harrowing odyssey back to Africa, and ends up in London as a living icon for Wilberforce and the other Abolitionists. ""The Book of Negroes"" is a pageturning narrative that manages to use Aminata's heart-rending personal story to bring to life a harrowing chapter in our history. less",,
Alexander McCall Smith,Blue Shoes and Happiness (No. 1 Ladies' Detective Agency #7),4.06,"There is considerable excitement at The No. 1 Ladies' Detective Agency. A cobra has been found in Precious Ramotswe's office. Then a nurse from a local medical clinic reveals that faulty blood–pressure readings are being recorded there. And Botswana has a new advice columnist, Aunty Emang, whose advice is rather curt for Mma Ramotswe’s taste.In this latest installment in the internationally best-selling, universally beloved series, there is considerable excitement at The No. 1 Ladies’ Detective Agency. A cobra has been found in Precious Ramotswe’s office. Then a nurse from a local medical clinic reveals that faulty blood–pressure readings are being recorded there. And Botswana has a new advice columnist, Aunty Emang, whose advice is rather curt for Mma Ramotswe’s taste.All this means a lot of work for our heroine and her inestimable assistant, Grace Makutsi, and they are, of course, up to the challenge. But there’s trouble brewing in Mma Makutsi’s own life. When Phuti Radiphuti misses their customary dinner date, she begins to wonder if he is having second thoughts about their engagement. And while Mma Makutsi may be able to buy that fashionably narrow (and uncomfortable) pair of blue shoes, it may not buy her the happiness that Mma Ramotswe promises her she’ll find in the simpler things—in contentment with the world and enough tea to smooth over the occasional bumps in the road. less",,
"Albert Camus, Jonathan Davis, et al",The Stranger,4.06,"Through the story of an ordinary man unwittingly drawn into a senseless murder on an Algerian beach, Camus explored what he termed ""the nakedness of man faced with the absurd."" First published in English in 1946; now in a new translation by Matthew Ward. less",,
J. M. Coetzee,Life and Times of Michael K,4.06,"In a South Africa torn by civil war, Michael K sets out to take his mother back to her rural home. On the way there she dies, leaving him alone in an anarchic world of brutal roving armies. Imprisoned, Michael is unable to bear confinement and escapes, determined to live with dignity. Life and Times of Michael K goes to the centre of human experience - the need for an interior, spiritual life, for some connections to the world in which we live, and for purity of vision.'This is a truly astonishing novel... I finished Life & Times of Michael K in a state of elation, for all the misery and suffering it contains. I cannot recommend it highly enough' Evening Standard less",born 1940,South Africa
"Ngugi wa Thiong'o, Chinua Achebe, Moses Isegawa",Petals of Blood,4.06,"The puzzling murder of three African directors of a foreign-owned brewery sets the scene for this fervent, hard-hitting novel about disillusionment in independent Kenya. A deceptively simple tale, Petals of Blood is on the surface a suspenseful investigation of a spectacular triple murder in upcountry Kenya. Yet as the intertwined stories of the four suspects unfold, a devastating picture emerges of a modern third-world nation whose frustrated people feel their leaders have failed them time after time. First published in 1977, this novel was so explosive that its author was imprisoned without charges by the Kenyan government. His incarceration was so shocking that newspapers around the world called attention to the case, and protests were raised by human-rights groups, scholars, and writers, including James Baldwin, Toni Morrison, Donald Barthelme, Harold Pinter, and Margaret Drabble.First time in Penguin Classics less",,
